Date,Time,Round,Day,Venue,Result,GF_reg,GA_reg,Opponent,Poss,Attendance,Captain,Formation,Referee,Match Report,Season,Comp,xG,xGA,GF_pen,GA_pen,match_outcome,goal_difference,home_advantage,home_team_form,goal_difference_rolling
2021-11-03,21:00,Group stage,Wed,Home,L,1,3,nl Ajax,31.0,54820.0,Marco Reus,4-3-3,Michael Oliver,Match Report,2021-2022,,1.7,2.0,0,0,0,-2,1,0.4,-0.8
2021-11-24,20:00,Group stage,Wed,Away,L,1,3,pt Sporting CP,64.0,41341.0,Marco Reus,4-2-3-1,Carlos del Cerro,Match Report,2021-2022,,1.6,1.9,0,0,0,-2,0,0.4,-1.0
2021-12-07,21:00,Group stage,Tue,Home,W,5,0,tr Beşiktaş,70.0,15000.0,Marco Reus,4-3-3,François Letexier,Match Report,2021-2022,,3.5,0.1,0,0,1,5,1,0.4,-1.2
2022-09-06,18:45,Group stage,Tue,Home,W,3,0,dk FC Copenhagen,63.0,70700.0,Marco Reus,4-2-3-1,François Letexier,Match Report,2022-2023,,2.3,0.5,0,0,1,3,1,0.4,-0.4
2022-09-14,20:00,Group stage,Wed,Away,L,1,2,eng Manchester City,34.0,50441.0,Marco Reus,4-3-3,Daniele Orsato,Match Report,2022-2023,,0.7,1.0,0,0,0,-1,0,0.4,0.0
2022-10-05,21:00,Group stage,Wed,Away,W,4,1,es Sevilla,42.0,34598.0,Jude Bellingham,4-2-3-1,Maurizio Mariani,Match Report,2022-2023,,2.5,2.0,0,0,1,3,0,0.4,0.6
2022-10-11,21:00,Group stage,Tue,Home,D,1,1,es Sevilla,52.0,81000.0,Mats Hummels,4-2-3-1,Srđan Jovanović,Match Report,2022-2023,,0.4,0.8,0,0,0,0,1,0.6,1.6
2022-10-25,21:00,Group stage,Tue,Home,D,0,0,eng Manchester City,27.0,81000.0,Mats Hummels,4-5-1,Davide Massa,Match Report,2022-2023,,1.2,1.2,0,0,0,0,1,0.6,2.0
2022-11-02,21:00,Group stage,Wed,Away,D,1,1,dk FC Copenhagen,57.0,31900.0,Mats Hummels,4-2-3-1,Əliyar Ağayev,Match Report,2022-2023,,1.2,1.8,0,0,0,0,0,0.4,1.0
2023-02-15,21:00,Round of 16,Wed,Home,W,1,0,eng Chelsea,48.0,81365.0,Jude Bellingham,4-1-4-1,Jesús Gil,Match Report,2022-2023,,1.5,2.1,0,0,1,1,1,0.2,0.4
2023-03-07,20:00,Round of 16,Tue,Away,L,0,2,eng Chelsea,60.0,38882.0,Marco Reus,4-1-4-1,Danny Makkelie,Match Report,2022-2023,,0.8,2.0,0,0,0,-2,0,0.4,0.8
2023-09-19,21:00,Group stage,Tue,Away,L,0,2,fr Paris S-G,33.0,47379.0,Emre Can,3-5-2,Jesús Gil,Match Report,2023-2024,,0.7,2.4,0,0,0,-2,0,0.2,-0.2
2023-10-04,21:00,Group stage,Wed,Home,D,0,0,it Milan,57.0,81365.0,Emre Can,4-2-3-1,Szymon Marciniak,Match Report,2023-2024,,1.0,1.6,0,0,0,0,1,0.2,-0.6
2023-10-25,20:00,Group stage,Wed,Away,W,1,0,eng Newcastle Utd,41.0,52024.0,Emre Can,4-3-3,Artur Soares Dias,Match Report,2023-2024,,1.8,1.1,0,0,1,1,0,0.2,-0.6
2023-11-07,18:45,Group stage,Tue,Home,W,2,0,eng Newcastle Utd,46.0,81365.0,Gregor Kobel,4-2-3-1,Alejandro Hernández,Match Report,2023-2024,,1.4,0.6,0,0,1,2,1,0.4,-0.4
2023-11-28,21:00,Group stage,Tue,Away,W,3,1,it Milan,46.0,75292.0,Emre Can,4-2-3-1,István Kovács,Match Report,2023-2024,,1.8,2.1,0,0,1,2,0,0.4,-0.2
2023-12-13,21:00,Group stage,Wed,Home,D,1,1,fr Paris S-G,41.0,81365.0,Gregor Kobel,4-2-3-1,Glenn Nyberg,Match Report,2023-2024,,1.4,2.8,0,0,0,0,1,0.6,0.6
2024-02-20,21:00,Round of 16,Tue,Away,D,1,1,nl PSV Eindhoven,45.0,34950.0,Emre Can,4-2-3-1,Srđan Jovanović,Match Report,2023-2024,,0.9,1.6,0,0,0,0,0,0.6,1.0
2024-03-13,21:00,Round of 16,Wed,Home,W,2,0,nl PSV Eindhoven,48.0,81365.0,Emre Can,4-2-3-1,Daniele Orsato,Match Report,2023-2024,,1.5,1.5,0,0,1,2,1,0.6,1.0
2024-04-10,21:00,Quarter-finals,Wed,Away,L,1,2,es Atlético Madrid,66.0,68641.0,Emre Can,4-2-3-1,Marco Guida,Match Report,2023-2024,,0.9,2.2,0,0,0,-1,0,0.6,1.2
2024-04-16,21:00,Quarter-finals,Tue,Home,W,4,2,es Atlético Madrid,52.0,81365.0,Emre Can,4-2-3-1,Slavko Vinčič,Match Report,2023-2024,,1.5,1.9,0,0,1,2,1,0.4,0.6
2024-05-01,21:00,Semi-finals,Wed,Home,W,1,0,fr Paris S-G,43.0,81365.0,Emre Can,4-2-3-1,Anthony Taylor,Match Report,2023-2024,,1.7,1.7,0,0,1,1,1,0.4,0.6
2024-05-07,21:00,Semi-finals,Tue,Away,W,1,0,fr Paris S-G,31.0,46435.0,Emre Can,4-2-3-1,Daniele Orsato,Match Report,2023-2024,,0.7,3.0,0,0,1,1,0,0.6,0.8
